source_row,消费者画像,unnamed_02,unnamed_03
2,男,0.7,
3,女,0.3,
4,人群特征,,
5,车主,15,0.416666666666667
6,户外运动爱好者,2,0.0555555555555556
7,DIY爱好者,2,0.0555555555555556
8,儿子,1,0.0277777777777778
9,农民,1,0.0277777777777778
10,丈夫,1,0.0277777777777778
11,司机,2,0.0555555555555556
12,通勤,1,0.0277777777777778
13,机械师,1,0.0277777777777778
14,使用时刻,,
15,紧急情况,9,0.25
16,爆胎,2,0.0555555555555556
17,公路旅行,4,0.111111111111111
18,冬季,1,0.0277777777777778
19,夏季,1,0.0277777777777778
20,旅行,4,0.111111111111111
21,露营,1,0.0277777777777778
22,户外,1,0.0277777777777778
23,胎压低,1,0.0277777777777778
24,没电,6,0.166666666666667
25,漏气,6,0.166666666666667
26,使用地点,,
27,家庭,4,0.111111111111111
28,汽车,5,0.138888888888889
29,路边,2,0.0555555555555556
30,在家,3,0.0833333333333333
31,户外活动,1,0.0277777777777778
32,露营旅行,1,0.0277777777777778
33,车展,1,0.0277777777777778
34,工地,1,0.0277777777777778
35,房车,3,0.0833333333333333
36,行为,,
37,启动车辆,3,0.0833333333333333
38,轮胎充气,10,0.277777777777778
39,设备充电,4,0.111111111111111
40,启动汽车电池,5,0.138888888888889
41,空压机,1,0.0277777777777778
42,移动电源,2,0.0555555555555556
43,紧急情况,1,0.0277777777777778
44,使用场景,,
45,充电设备,11,0.183333333333333
46,轮胎充气,8,0.133333333333333
47,节日礼物,8,0.133333333333333
48,快速启动车辆,5,0.0833333333333333
49,便携,6,0.1
50,手机移动电源,3,0.05
51,紧急使用,5,0.0833333333333333
52,应急准备,2,0.0333333333333333
53,车载充电器,1,0.0166666666666667
54,必备汽车安全,1,0.0166666666666667
55,USB-C Pd充电器,1,0.0166666666666667
56,内置手电筒,1,0.0166666666666667
57,未被满足的需求,,
58,压缩机配件,5,0.0833333333333333
59,寿命长,5,0.0833333333333333
60,工作产品,7,0.116666666666667
61,质量,6,0.1
62,电缆,7,0.116666666666667
63,可靠,7,0.116666666666667
64,标配设备,2,0.0333333333333333
65,工作产品,7,0.116666666666667
66,外壳,1,0.0166666666666667
67,充电线,2,0.0333333333333333
68,打火机,1,0.0166666666666667
69,必备品,1,0.0166666666666667
70,好评,,
71,强大的快速启动,10,0.166666666666667
72,简单易用,11,0.183333333333333
73,紧凑,12,0.2
74,耐用,4,0.0666666666666667
75,多功能,9,0.15
76,长效电池,1,0.0166666666666667
77,质量好,3,0.05
78,便携式,4,0.0666666666666667
79,多功能,9,0.15
80,明亮的手电筒,3,0.05
81,快速充电,1,0.0166666666666667
82,差评,,
83,短电缆,2,0.0333333333333333
84,空压机问题,7,0.116666666666667
85,USB问题,6,0.1
86,不充电,2,0.0333333333333333
87,有缺陷的产品,2,0.0333333333333333
88,质量差,8,0.133333333333333
89,破损零件,1,0.0166666666666667
90,慢速充电,6,0.1
91,太笨重,3,0.05
92,不可靠,2,0.0333333333333333
93,糟糕的说明,1,0.0166666666666667
94,LED灯故障,1,0.0166666666666667
95,空压机问题,7,0.116666666666667
96,损坏的零件,1,0.0166666666666667
97,购买动机,,
98,超值,9,0.25
99,高品质&耐用,2,0.0555555555555556
100,令人印象深刻的评论,3,0.0833333333333333
101,可靠 & 高效,3,0.0833333333333333
102,充电设备,9,0.25
103,多功能,1,0.0277777777777778
104,使用,6,0.166666666666667
105,充电设备,8,0.222222222222222
106,强力跳箱,2,0.0555555555555556
107,救生员,3,0.0833333333333333
108,方便实用,4,0.111111111111111
