source_row,大卖点,unnamed_02,unnamed_03,unnamed_04,unnamed_05,unnamed_06,unnamed_07,unnamed_08,unnamed_09,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27
2,启动类,,,充气类,,,充电宝,,,方便,,,质量好,,,LED灯,,,配件,,,外观,,,屏幕,,
3,小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序",小卖点,参数,"主要
排序"
4,启动快,10 S,1,充气快,17500转/分钟 19L/分钟 10s,1,做充电宝,是,1,便携,是,1,质量好,寿命长 质量稳定 可靠,1,LED灯,单颗大灯珠,1,配件多,"TYPE-c 充电线*1;充气管 *1;充电夹*1
气嘴*5;擦布*1;收纳盒*1;说明书*1",1,外观造型,极简造型 硬汉风格,1,LED大屏,5.5英寸大屏,1
5,电流大,MAX 5500A,2,充气多,33-36PSI 30次,2,做充电宝-充电快,5V/2.1A Max,2,尺寸重量,体积89.6*43.6*220.8mm.重量0.77KG,2,安全性高-产品本身,智能芯片 a.短路保护 b.过流保护 c.过压保护 d.欠压保护 e.过载保护 f.过温保护,2,LED灯-多种照明方式,3种 常亮 爆闪 SOS,2,气嘴多,5个气嘴 汽车 摩托 单车 球类 气球 游泳圈,2,外壳材质,ABS材质 磨砂手感 舒适防滑,2,LED大屏-高亮,阳光下看清楚,2
6,电容大,44.4Wh,3,气压大,MAX 150PSI,3,做充电宝-充电次数多,"DC5V/2A （TYPE-C）) 12000mAh/
手机5次 平板3次 相机2次 笔记本1次",3,操作便捷 启动,2步 1:插夹子  2:夹电瓶（不分正负）,3,安全性高-夹子配件,智能夹子 无火花 互夹不短路 IP63 红色夹子是正极，黑色是负极,3,LED灯-亮度大 流明高,300 LUMEN,3,收纳盒,收纳方便 保护产品 配件分类收纳,3,做礼物,高端的外观，送礼必备,3,LED大屏-高清,字体显示细腻,3
7,电压大,14.8V,4,气压阈值区间大,3-150PSI,4,做充电宝-多充电口【出】,1个 USB-A,4,操作便捷 充气,3步 1:开机  2:选择模式 3:启动,4,适用温度区间大,'-10℃-40℃/14℃-104℃,4,LED灯-照明时间久,30个小时,4,,,,,,4,LED大屏-字体大,大字体，老年人也能看清楚,4
8,启动大容量汽车,MAX 10L,5,多设备气压模式,5个模式 汽车 摩托车 单车 球类 手动,5,做充电宝-多充电口【入】,1个 TYPE-C,5,无电源线,是 无束缚,5,待机久,20个月,5,LED灯-冷光不发热,不易烫坏身边的塑料产品,5,,,,,,,LED大屏-内容简洁,简单明了，汽车小白一看就会操作。,5
9,启动大容量柴油车,MAX 10L,6,适合多产品,汽车 SUV 皮卡 摩托车 单车 球类 泳圈 气球,6,做充电宝-适用多种设备,数码产品 手机 平板 笔记本 相机 无人机 小风扇 USB灯泡,6,自助性强,是 无等待,6,散热好,上下部四个散热孔 双风扇,6,LED灯-照明功率大,0.5W 照明范围3-5米,6,,,,,,,气压检测,是,6
10,启动设备种类多,除草机 摩托 小轿车 SUV 皮卡 货车,7,气压单位多,4个单位 PSI BAR KPA Kg/cm²,7,可自充电,是,,紧急救援,是 快速远离险情,7,使用不发热,芯片控制不易发热,7,LED灯-多使用场景,外出露营 夜晚应急照明 汽车维修等,,,,,,,,气压检测-准确-实时,准确无误,7
11,启动多规格容量设备,1L-10L,8,充满自停,是,8,可自充电-充的快,DC5V/2A （TYPE-C）)/DC:~6h,,,,8,售后好,10年包退 7*24小时售后,8,,,,,,,,,,气压检测-一插即测,即插即用，不需要启动电源,8
12,启动设备次数多,50次,9,预设气压值,3-150PSI,,,,,,,9,防摔,1米抗摔,9,,,,,,,,,,,,
13,满电自停,是,,,,,,,,,,10,冬天不亏电,是,10,,,,,,,,,,,,
14,锂离子电池组,质量好,,,,,,,,,,11,安全隐患-夏天车里不自燃,是 电芯稳定,11,,,,,,,,,,,,
15,,,,,,,,,,,,12,电池循环次数多,2000+次,12,,,,,,,,,,,,
16,,,,,,,,,,,,13,不损伤汽车电瓶,,,,,,,,,,,,,,
